nodef	couple	education	revdispo	montant	age	objet	apport	prt	client	enfant	tempsplein	duree	type	interet	pel	PCS	courant
0	1	0	22.08	1.0e+06	18	0	0	0	1	3	1	1	2	3.03	1	1	1
0	1	0	29.58	1.0e+06	19	0	.15	0	1	3	1	1	2	3.039	1	1	1
0	1	0	21.67	1.0e+06	20	0	.3	0	1	3	1	1	2	3.048	1	1	1
0	1	0	20.17	1.0e+06	21	0	.45	0	1	3	1	1	2	3.057	1	1	1
0	1	0	15.83	1.0e+06	22	0	.6	0	1	3	1	1	2	3.066	1	1	1
0	1	0	17.42	1.1e+06	23	0	.75	0	1	3	1	1	1	3.075	1	1	1
0	1	0	58.67	1.1e+06	24	0	.9	0	1	3	1	1	2	3.084	1	1	1
0	1	0	27.83	1.1e+06	25	0	1.05	0	1	3	1	1	2	3.093	1	1	1
0	1	0	55.75	1.1e+06	26	0	1.2	0	1	3	1	1	2	3.102	1	1	1
0	1	0	33.5	1.1e+06	27	0	1.35	0	1	3	1	1	2	3.111	1	3	1
0	1	0	41.42	1.1e+06	28	1	1.5	0	1	3	1	1	2	3.12	1	3	1
0	1	0	20.67	1.1e+06	29	1	1.65	0	1	3	1	1	2	3.129	1	3	1
0	1	0	34.92	1.1e+06	30	1	1.8	0	1	3	1	1	2	3.138	1	3	1
0	1	0	58.58	1.2e+06	31	1	1.95	0	1	3	1	1	2	3.147	1	3	1
0	1	0	48.08	1.2e+06	32	1	2.1	0	1	3	1	1	2	3.156	1	3	1
0	1	0	29.58	1.2e+06	33	1	2.25	0	1	3	1	1	2	3.165	1	3	1
0	1	0	18.92	1.2e+06	34	1	2.4	0	1	3	1	1	2	3.174	1	3	1
0	1	0	20	1.2e+06	35	1	2.55	0	0	3	1	1	2	3.183	1	3	1
0	1	0	22.42	1.2e+06	36	1	2.7	0	0	2	1	1	2	3.192	1	3	1
0	1	0	28.17	1.2e+06	37	1	2.85	0	0	2	1	1	2	3.201	1	3	1
0	1	0	19.17	1.2e+06	38	1	3	0	0	2	1	1	2	3.21	1	3	1
0	1	0	41.17	1.3e+06	39	1	3.15	0	0	2	1	1	2	3.219	1	3	1
0	1	0	41.58	1.3e+06	22	1	3.3	0	0	2	1	1	2	3.228	1	3	1
0	1	0	19.5	1.3e+06	24	1	3.45	0	0	2	1	1	2	3.237	1	1	1
0	1	0	32.75	1.3e+06	26	1	3.6	0	0	2	1	1	2	3.246	1	1	1
0	1	0	22.5	1.3e+06	28	1	3.75	0	1	3	1	1	2	3.255	1	2	1
0	1	0	33.17	1.3e+06	30	1	3.9	0	1	3	1	1	2	4.264	1	2	1
0	1	0	30.67	1.3e+06	32	1	4.05	0	0	3	1	1	2	3.264	1	2	1
0	1	0	23.08	1.3e+06	34	1	4.2	0	0	3	1	2	2	3.273	1	2	1
0	1	0	27	1.3e+06	36	1	4.35	0	0	3	1	2	2	3.282	1	2	1
0	1	0	20.42	1.4e+06	38	1	4.5	0	0	3	1	2	2	3.291	1	2	1
0	1	0	52.33	1.4e+06	40	1	4.65	0	0	2	1	2	2	3.3	1	2	1
0	1	0	23.08	1.4e+06	42	0	4.8	0	0	2	1	2	2	3.309	1	2	1
0	1	0	42.83	1.4e+06	44	0	4.95	0	0	2	1	2	2	3.318	1	2	1
0	1	0	74.83	1.4e+06	46	0	5.1	0	0	2	1	2	2	3.327	1	2	1
0	1	0	25	1.4e+06	48	0	5.25	0	0	2	1	2	2	3.336	1	2	1
0	0	0	39.58	1.4e+06	50	0	5.4	0	0	2	1	2	2	3.345	1	2	1
0	1	0	47.75	1.4e+06	52	0	5.55	0	0	2	1	2	2	3.354	1	2	1
0	1	0	47.42	1.5e+06	54	0	5.7	0	0	2	1	2	2	3.363	1	2	2
0	1	0	23.17	1.5e+06	56	0	5.85	0	0	2	1	2	2	3.372	1	2	2
